Figure,English,French
Figure 7,Digital skills in the Business and management (B&M) skills cluster,Compétences numériques du groupe de compétences en affaires et gestion
Figure 8,Digital skills in the General office-based skills cluster,Compétences numériques du groupe de compétences administratives générales
Figure 9,Digital skills in the Communication and interaction (C&I) skills cluster,Compétences numériques du groupe de compétences en communication et interaction
Figure 10,Digital skills in the Trades skills cluster,Compétences numériques du groupe de compétences liées aux métiers
Figure 11,Digital skills in the Sales and merchandising skills cluster,Compétences numériques du groupe de compétences en vente et mise en marché
Figure 12,Digital intensity of hybrid skills pairs,Intensité numérique de paires de compétences hybrides
Figure 13,Digital intensity of hybrid skills pairs,Intensité numérique de paires de compétences hybrides
Figure 14,Digital intensity of Software/Product development & data skills,Intensité numérique – développement de logiciels et de produits et gestion de données
Figure 15,Digital intensity of Cybersecurity & system infrastructure skills,Intensité numérique – cybersécurité et infrastructure des systèmes
Figure 16,Digital intensity of Industrial modelling & geospatial software skills,Intensité numérique – modélisation industrielle et logiciels géospatiaux
Figure 17,Digital intensity of Design and marketing skills,Intensité numérique – conception et marketing
Figure 18,Digital intensity of Workforce digital skills,Intensité numérique – compétences numériques générales
Figure 20,Growth of digital skills during the pandemic (2019 to 2021),Croissance des compétences numériques pendant la pandémie (2019-2021)
Figure 22,Growth of skills sub-groups during the pandemic (2019 to 2021),Croissance des sous-groupes de compétences pendant la pandémie (2019-2021)
Figure A.1,"All digital skills, shown by digital intensity and growth during the pandemic","Toutes les compétences numériques, selon leur intensité numérique et leur croissance pendant la pandémie"
Figure A.2,Digital intensity of hybrid skills pairs,Intensité numérique de paires de compétences hybrides
Figure A.3,Digital intensity of hybrid skills pairs,Intensité numérique de paires de compétences hybrides
Figure 22,Vicinity Jobs Skills Groups,Groupes de compétences de Vicinity Jobs
Figure 1,Each dot is a skill,Chaque point désigne une compétence
Figure 1,Technology skills,Compétences technologiques
Figure 1,Other skills,Autres compétences
Figure 1,"A digital skill is a skill that is either categorized as a Technology skill by Vicinity Jobs, or skill in other categories that are highly digitally intense.",Une compétence numérique est une compétence qui est classée comme une compétence technologique par Vicinity Jobs ou une compétence d’une autre catégorie à intensité numérique élevée.
Figure 2,All skills,Toutes les compétences
Figure 2,Digital skills,Compétences numériques
Figure 2,"Skills clusters are defined for around 5,000 skills (including digital skills)",Des groupes de compétences sont établis pour environ 5 000 compétences (incluant les compétences numériques).
Figure 2,"Digtial sub-clusters are defined just for around 2,200 digital skills",Des sous-groupes numériques sont établis pour environ 2 200 compétences numériques.
