skill,groupName,subGroupName,count,score,digital_assign,mod,lv.mod,order
Utility locators,Tools and Equipment,Building and facilities,308,275.959594363496,0,General office,Non-digital skills,1
Utility trucks,Tools and Equipment,Miscellaneous or unclassified,59,295.2875687722845,0,Trades,Non-digital skills,1
Vacuum bags,Tools and Equipment,Miscellaneous or unclassified,126,432.53971065197095,0,Sales and merchandising,Non-digital skills,1
Vacuum brushes,Tools and Equipment,Miscellaneous or unclassified,13,443.240818627075,0,Sales and merchandising,Non-digital skills,1
Vacuum filters,Tools and Equipment,Miscellaneous or unclassified,23,413.32520404255246,0,Trades,Non-digital skills,1
Vacuum formers,Tools and Equipment,Miscellaneous or unclassified,35,123.58695709937939,0,Trades,Non-digital skills,1
Vacuum furnaces,Tools and Equipment,Miscellaneous or unclassified,32,301.1132259346417,0,Trades,Non-digital skills,1
Vacuum lifters,Tools and Equipment,Miscellaneous or unclassified,84,348.4997471634464,0,Trades,Non-digital skills,1
Vacuum ovens,Tools and Equipment,Miscellaneous or unclassified,22,443.240818627075,0,Trades,Non-digital skills,1
Vacuum pumps,Tools and Equipment,Miscellaneous or unclassified,369,256.06296039135395,0,Trades,Non-digital skills,1
Vacuum stations,Tools and Equipment,Miscellaneous or unclassified,23,406.82294071215694,0,Sales and merchandising,Non-digital skills,1
Vacuum systems,Tools and Equipment,Cleaning,822,269.8612092901694,0,Trades,Non-digital skills,1
Vacuum tanks,Tools and Equipment,Miscellaneous or unclassified,24,299.9233740151418,0,Trades,Non-digital skills,1
