name,subGroupName,mod,digital_assign.x,lv.mod,2016,2017,2018,2019,2020,count_2021,2022,2023,growth,cagr,score,digital_assign.y
Apache Maven,Development environment software,High-tech,1,Software/product dev & data skills,39,117,176,155,44,107,77,19,-0.3096774193548387,-0.16914346566620708,20.042346602970877,1
Apache Spark,Object or component oriented development software,High-tech,1,Software/product dev & data skills,66,420,586,786,324,473,556,144,-0.3982188295165394,-0.22425444217613433,24.639391152359124,1
Apache Tomcat,Web platform development software,High-tech,1,Software/product dev & data skills,349,900,1533,1105,423,516,543,207,-0.5330316742081448,-0.31664919273344294,17.56918549410214,1
Apple Mac OS X,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,493,964,1539,1711,898,1041,1420,384,-0.39158386908240794,-0.21998965973674933,84.09559381884294,1
Application servers,Operating system software,High-tech,1,Software/product dev & data skills,625,1207,1977,1646,796,915,915,354,-0.44410692588092343,-0.25441762754268626,29.043698633243167,1
Articulate Storyline,Computer based training software,Business and management,1,Design & marketing skills,70,239,375,484,239,330,385,177,-0.3181818181818182,-0.17427717615522953,86.86490716717084,1
Artificial Intelligence (AI),Artificial Intelligence,High-tech,1,Software/product dev & data skills,860,5047,13236,19643,12762,21737,29210,9356,0.1066028610701013,0.05195192906810209,103.08104822594191,1
Asset management software,Inventory management software,Business and management,1,Workforce digital skills,63,205,311,265,179,311,393,201,0.17358490566037735,0.08332123844240091,123.12720715663193,1
Atlassian Confluence,Project management software,High-tech,1,Software/product dev & data skills,14,47,239,189,124,222,6955,3495,0.1746031746031746,0.08379111207057544,64.84404636834671,1
Atlassian JIRA,Content workflow software,High-tech,1,Software/product dev & data skills,1306,5120,13586,14978,8792,14399,18062,6232,-0.038656696488182665,-0.0195188408175212,56.410839512406824,1
Audacity,Music or sound editing software,Communication and interaction,1,Design & marketing skills,8,36,244,258,275,264,348,116,0.023255813953488372,0.011561077717746393,145.8508931920674,1
Autodesk 3ds Max,Video creation and editing software,High-tech,1,Design & marketing skills,47,379,752,976,682,811,1023,276,-0.16905737704918034,-0.08843945733109992,68.45391652010066,1
Autodesk AutoCAD,Computer aided design CAD software,General office,1,Industrial modelling & geospatial software skills,2496,8312,16616,14129,8277,9430,12999,5054,-0.33257838488215724,-0.18304124025882262,90.2351712640928,1
Autodesk AutoCAD Civil 3D,Computer aided design CAD software,General office,1,Industrial modelling & geospatial software skills,246,1155,2420,2408,1029,1466,1854,844,-0.3911960132890365,-0.21974107713467095,84.63696224151855,1
Autodesk Combustion,Graphics or photo imaging software,Trades,1,Workforce digital skills,88,376,834,964,624,1039,1481,589,0.07780082987551867,0.03817186914090409,207.41268620404733,1
Autodesk Inventor,Computer aided design CAD software,General office,1,Industrial modelling & geospatial software skills,90,213,419,371,206,280,346,183,-0.24528301886792453,-0.1312555144738612,67.56419284290571,1
Autodesk Maya,Graphics or photo imaging software,High-tech,1,Design & marketing skills,36,129,319,402,230,258,245,81,-0.3582089552238806,-0.1988813790853945,48.83849100432255,1
Autodesk MotionBuilder,Video creation and editing software,High-tech,1,Design & marketing skills,13,91,190,214,133,201,184,56,-0.06074766355140187,-0.03084968325414128,91.39049309110058,1
Autodesk Mudbox,Graphics or photo imaging software,High-tech,1,Design & marketing skills,17,226,384,484,237,251,183,47,-0.48140495867768596,-0.27986456737477916,91.57007990000737,1
Autodesk Revit,Computer aided design CAD software,General office,1,Industrial modelling & geospatial software skills,646,2644,6199,6176,2903,3825,4685,1946,-0.3806670984455959,-0.21302293454357635,70.1925359282663,1
Autodesk VIZ,Computer aided design CAD software,High-tech,1,Software/product dev & data skills,17,63,192,201,96,127,206,56,-0.3681592039800995,-0.2051158600022891,237.77492864385374,1
Avid Media Composer,Video creation and editing software,High-tech,1,Design & marketing skills,22,47,111,86,74,134,154,60,0.5581395348837209,0.2482545953785713,110.39187285479969,1
Behavior-Driven Development (BDD),Software and web development,High-tech,1,Software/product dev & data skills,110,609,1096,1372,813,1050,1082,363,-0.23469387755102042,-0.12518223472029355,69.593073185381,1
Bentley MicroStation,Computer aided design CAD software,General office,1,Industrial modelling & geospatial software skills,261,1398,2681,2500,1005,1005,1319,582,-0.598,-0.3659653006341057,78.76721409070585,1
Big Data,Big Data,High-tech,1,Software/product dev & data skills,3148,6812,10038,10117,5010,6844,7593,1933,-0.32351487595136896,-0.17751284262389178,48.23822165853296,1
Billing software,Accounting software,General office,1,Workforce digital skills,27,133,354,389,285,471,679,336,0.21079691516709512,0.10036217454395224,166.19888284576956,1
Blackboard,Data base user interface and query software,Business and management,1,Workforce digital skills,36,666,862,833,404,549,728,323,-0.34093637454981995,-0.18817266278464106,137.0516783240064,1
Blogger,Web page creation and editing software,Business and management,1,Design & marketing skills,45,100,198,158,112,118,135,32,-0.25316455696202533,-0.13580358538236537,141.9325227595756,1
Bloomberg,Financial analysis software,High-tech,1,Software/product dev & data skills,NA,NA,1290,1205,929,3886,4831,1252,2.224896265560166,0.7957996173181923,211.90287401247184,1
Bookkeeping software,Accounting software,General office,1,Workforce digital skills,14,86,260,376,318,492,569,138,0.30851063829787234,0.14390149851194467,157.3709143831611,1
Building Information Modeling (BIM),Facilities maintenance and design,General office,1,Industrial modelling & geospatial software skills,123,590,1136,1130,583,809,1022,393,-0.28407079646017697,-0.15387400256237072,75.65015362775485,1
Bullhorn,Human resources software,High-tech,1,Software/product dev & data skills,24,47,60,76,791,301,117,44,2.960526315789474,0.9901071116373295,103.09905948778692,1
Business Analysis,Business analysis,High-tech,1,Software/product dev & data skills,13799,23475,24017,19944,13175,18911,25286,9285,-0.05179502607300441,-0.026241829853533072,58.01383642724831,1
Business Systems Analysis,Business analysis,High-tech,1,Software/product dev & data skills,4553,5925,8134,7281,5240,7441,8835,3324,0.021975003433594285,0.010927793382689899,35.29912153432024,1
Business intelligence software,Business intelligence and data analysis software,High-tech,1,Software/product dev & data skills,174,292,330,299,197,238,360,132,-0.2040133779264214,-0.10781917635852623,81.4497934489854,1
Business management software,Data base user interface and query software,General office,1,Workforce digital skills,510,392,386,201,142,314,353,104,0.5621890547263682,0.24987561570196593,130.8150292621503,1
Business software applications,Office suite software,High-tech,1,Workforce digital skills,28,119,155,381,143,215,343,114,-0.4356955380577428,-0.24879798859277724,130.46840641186978,1
C#,Object or component oriented development software,High-tech,1,Software/product dev & data skills,4131,11213,4509,6260,2259,11441,11408,2632,0.8276357827476039,0.3519008035901168,20.79492940863762,1
C++,Object or component oriented development software,High-tech,1,Software/product dev & data skills,4157,10524,4157,6137,2350,10109,10248,2335,0.6472217695942643,0.28344137754486654,30.47377614014289,1
CATIA,Computer aided design CAD software,Communication and interaction,1,Industrial modelling & geospatial software skills,333,551,1927,1539,843,981,1451,681,-0.36257309941520466,-0.20160980680822782,88.48168192156406,1
CATIA V5,Computer aided design CAD software,Communication and interaction,1,Industrial modelling & geospatial software skills,92,123,865,572,332,471,649,315,-0.17657342657342656,-0.09257144996061895,82.00874228841141,1
COBIT,IT infrastructure and cybersecurity,High-tech,1,Cybersecurity & system infrastructure skills,236,878,1701,1755,860,1138,1290,489,-0.35156695156695156,-0.1947465936532473,73.01991970840064,1
COBOL (Common business oriented language),Development environment software,High-tech,1,Software/product dev & data skills,256,511,925,656,310,619,532,182,-0.056402439024390245,-0.028610499863412242,24.609764710231886,1
Cascading Style Sheets (CSS),Web platform development software,High-tech,1,Software/product dev & data skills,3935,9569,15251,16383,4996,5780,22597,13973,-0.6471952633827748,-0.4060263165617308,77.60217617663882,1
Case management software,Medical software,High-tech,1,Software/product dev & data skills,44,174,303,292,220,211,358,199,-0.2773972602739726,-0.1499395670153637,152.9527361507192,1
Ceridian,Human resources software,General office,1,Workforce digital skills,994,892,1820,1948,1550,1919,2805,1036,-0.014887063655030801,-0.007471443058201355,173.84548996138233,1
Cerner Millennium,Medical software,High-tech,1,Cybersecurity & system infrastructure skills,14,110,200,211,141,222,121,76,0.052132701421800945,0.025735200440055506,120.31716851427663,1
Charting software,Charting software,Sales and merchandising,1,Design & marketing skills,NA,10,76,90,221,1108,1559,841,11.311111111111112,2.5087192978508712,278.91238592675177,1
Cisco,Networking and telecommunications,High-tech,1,Cybersecurity & system infrastructure skills,2545,4807,9428,8339,4759,5875,7659,2709,-0.2954790742295239,-0.16064255184666643,50.87507024732876,1
Cisco Systems WebEx,Video conferencing software,Business and management,1,Workforce digital skills,306,644,1143,1145,1135,2653,2673,896,1.3170305676855896,0.5221795451541154,121.42277840536705,1
Citrix,Access software,High-tech,1,Cybersecurity & system infrastructure skills,662,1616,3491,3016,1736,2226,2528,904,-0.2619363395225464,-0.1408936849973378,59.04904970373179,1
Citrix GoToMeeting,Video conferencing software,High-tech,1,Cybersecurity & system infrastructure skills,25,77,156,215,144,160,159,45,-0.2558139534883721,-0.1373378143724927,115.85869600388982,1
Citrix XenApp,Application server software,High-tech,1,Cybersecurity & system infrastructure skills,112,295,829,652,319,266,295,80,-0.5920245398773006,-0.3612704327160834,31.021433358534395,1
Client System,Medical software,High-tech,1,Cybersecurity & system infrastructure skills,56,93,203,167,99,147,162,74,-0.11976047904191617,-0.06178919162158236,128.24132263626691,1
Client databases,Data base user interface and query software,General office,1,Workforce digital skills,48,135,387,400,226,398,644,278,-0.005,-0.0025031328369998773,133.59762735512774,1
Clipper,Development environment software,High-tech,1,Software/product dev & data skills,8,16,64,59,120,138,167,113,1.3389830508474576,0.5293734177261804,375.83140275258864,1
Closed circuit television CCTV systems,Surveillance Systems,Sales and merchandising,1,Workforce digital skills,710,2516,4209,3881,3345,4048,6382,3230,0.043030146869363566,0.021288473874724323,169.0431260817031,1
Cloud Computing,Cloud Computing,High-tech,1,Software/product dev & data skills,9910,20915,32937,38646,23476,32549,40501,13640,-0.15776535734616778,-0.08226657320666797,55.389995279121116,1
Cloudera,Big Data,High-tech,1,Software/product dev & data skills,73,353,589,459,221,198,220,66,-0.5686274509803921,-0.3432104225708147,23.518179018290258,1
Coding skills,Object or component oriented development software,High-tech,1,Software/product dev & data skills,338,1708,2486,2649,998,1529,1627,424,-0.42280105700264253,-0.24026389910880397,44.13941508953857,1
Compilers,Compiler and decompiler software,High-tech,1,Software/product dev & data skills,127,183,318,377,112,199,146,44,-0.47214854111405835,-0.27346613369647965,88.43911198090728,1
Compliance software,Compliance software,Business and management,1,Workforce digital skills,27,98,151,74,49,121,92,34,0.6351351351351351,0.2787240261820121,113.73612826265803,1
Computer aided design CAD software,Computer aided design CAD software,High-tech,1,Industrial modelling & geospatial software skills,1944,4361,6305,5760,4631,4592,4935,2029,-0.20277777777777778,-0.1071269842680751,51.184061683178555,1
Computer aided design and drafting CADD software,Computer aided design CAD software,Trades,1,Workforce digital skills,226,476,747,704,569,588,1039,565,-0.16477272727272727,-0.08609230623258635,238.77023971148253,1
Computer aided manufacturing CAM software,Computer aided manufacturing CAM software,Trades,1,Industrial modelling & geospatial software skills,92,196,261,258,223,266,384,150,0.031007751937984496,0.015385518873489046,202.41708630572978,1
Computer assisted software engineering CASE software,Computer aided design CAD software,High-tech,1,Software/product dev & data skills,135,462,910,992,799,846,1110,541,-0.14717741935483872,-0.07651606367779129,115.49243792542364,1
Computer numerical control CNC software,Industrial control software,Trades,1,Industrial modelling & geospatial software skills,190,303,330,289,196,314,483,173,0.08650519031141868,0.04235559686290302,180.35177900840077,1
Computer operating systems,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,30,163,440,411,311,531,630,251,0.291970802919708,0.13664893565238878,113.52590866081347,1
Computer reservation system CRS software,Data base user interface and query software,Sales and merchandising,1,Workforce digital skills,149,243,423,364,133,268,331,119,-0.26373626373626374,-0.14194188060263868,176.15903174489486,1
Computer servers,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,16,33,187,170,163,186,283,107,0.09411764705882353,0.04600078731271684,84.95515097804923,1
Computer terminals,Information Technology and telecommunications,Sales and merchandising,1,Workforce digital skills,23,225,327,1297,3681,8057,8048,2950,5.212027756360833,1.4923939809670608,270.96194979394,1
Computer-aided engineering CAE software,Analytical or scientific software,Business and management,1,Industrial modelling & geospatial software skills,175,209,1751,2117,855,959,1166,471,-0.5470004723665565,-0.3269476040950129,147.9086800108126,1
Computerized cash registers,Miscellaneous or unclassified,Sales and merchandising,1,Workforce digital skills,1,277,208,212,64,126,114,53,-0.4056603773584906,-0.2290657468749301,111.99573502637463,1
Computerized maintenance management system CMMS,Facilities management software,Trades,1,Workforce digital skills,442,1573,3068,3049,2129,3167,4884,2213,0.03870121351262709,0.01916692131987241,183.3573730965437,1
Computerized numerical control CNC software,Industrial control software,Trades,1,Industrial modelling & geospatial software skills,184,290,305,280,187,302,474,169,0.07857142857142857,0.038542935352905205,181.6703197436304,1
Configuration Management Databases (CMDB),Configuration management software,High-tech,1,Cybersecurity & system infrastructure skills,73,214,436,456,325,483,701,207,0.05921052631578947,0.029179540369798307,45.26153447057013,1
Contact management software,Calendar and scheduling software,General office,1,Workforce digital skills,29,82,209,154,124,157,165,74,0.01948051948051948,0.009693279902624363,143.31389469516577,1
Content management systems CMS,Web page creation and editing software,Business and management,1,Design & marketing skills,1071,3422,4844,4980,3128,4350,5625,2083,-0.12650602409638553,-0.06539100373278317,102.50724762634486,1
Corel CorelDraw Graphics Suite,Graphics or photo imaging software,High-tech,1,Design & marketing skills,133,281,569,525,355,383,546,249,-0.2704761904761905,-0.14587834032626856,95.73860915831756,1
Customer relationship management CRM software,Customer relationship management CRM software,Business and management,1,Workforce digital skills,2151,6111,34425,44135,29293,39668,50270,19639,-0.10121218987198369,-0.05195579737650613,136.06518627133744,1
DDL (Data definition language),Data base management system software,High-tech,1,Software/product dev & data skills,46,143,258,185,118,229,235,62,0.23783783783783785,0.1125816095180785,80.30477819650244,1
DHTML (Dynamic hypertext markup language),Web platform development software,High-tech,1,Software/product dev & data skills,192,326,394,395,203,172,186,89,-0.5645569620253165,-0.34011892133909194,14.230389393585927,1
DML (Data manipulation language),Data base management system software,High-tech,1,Software/product dev & data skills,30,76,153,129,59,104,145,56,-0.1937984496124031,-0.10211272957703821,73.69189377424196,1
DOT NET,Object or component oriented development software,High-tech,1,Software/product dev & data skills,366,984,397,425,466,252,135,60,-0.40705882352941175,-0.22997326249630257,18.170729272491496,1
Data acquisition systems,Analytical or scientific software,High-tech,1,Industrial modelling & geospatial software skills,56,211,326,246,121,148,359,120,-0.3983739837398374,-0.22435445191752523,93.40718434136227,1
Data analysis software,Analytical or scientific software,High-tech,1,Design & marketing skills,573,868,1121,1377,1113,1229,1379,709,-0.1074800290486565,-0.05526724892626722,82.85638333652084,1
Data entry software,Data base user interface and query software,General office,1,Workforce digital skills,14,31,113,78,60,138,306,117,0.7692307692307693,0.3301243435223524,154.1253065280934,1
Data loggers,Information Technology and telecommunications,High-tech,1,Workforce digital skills,11,73,180,139,58,123,183,106,-0.11510791366906475,-0.05931297110519518,98.06251140536673,1
Data management software,Data base user interface and query software,General office,1,Workforce digital skills,104,387,709,442,274,481,832,435,0.08823529411764706,0.043185167704011596,128.89845859987634,1
Data visualization software,Analytical or scientific software,High-tech,1,Design & marketing skills,329,471,613,731,595,732,870,369,0.0013679890560875513,6.837607636529519e-4,52.99545835635258,1
Database management software,Data base management system software,General office,1,Workforce digital skills,31,121,239,203,227,269,440,233,0.3251231527093596,0.1511399361977499,137.0620590676185,1
Database management systems,Data base management system software,High-tech,1,Software/product dev & data skills,261,658,1098,1140,679,1119,1509,800,-0.018421052631578946,-0.009253338452043458,41.713098287911265,1
Database software,Data base user interface and query software,General office,1,Workforce digital skills,3367,5803,10297,9104,6034,8715,9057,4028,-0.042728471001757466,-0.02159746065423429,138.8983741482077,1
Deltek,Enterprise resource planning ERP software,General office,1,Workforce digital skills,27,160,285,268,155,268,413,163,0,0,133.89391254855136,1
Deltek Vision,Enterprise resource planning ERP software,General office,1,Workforce digital skills,23,116,201,175,77,130,152,48,-0.2571428571428571,-0.13810839262866537,124.37736135702234,1
Dental software,Medical software,Sales and merchandising,1,Workforce digital skills,30,65,431,504,740,864,1221,627,0.7142857142857143,0.3093073414159542,210.34110985596706,1
Design templates,Office and business operations,High-tech,1,Software/product dev & data skills,13,71,630,611,210,487,726,274,-0.20294599018003273,-0.10722118650812107,71.58157334773908,1
Desire2Learn,Computer based training software,Business and management,1,Workforce digital skills,9,89,221,143,84,127,186,60,-0.11188811188811189,-0.05760311539570118,131.38566101139742,1
Desktop computers,Information Technology and telecommunications,High-tech,1,Cybersecurity & system infrastructure skills,61,181,865,819,449,1121,1641,538,0.36874236874236876,0.16993263427531113,130.56231665771247,1
Desktop publishing software,Desktop publishing software,General office,1,Design & marketing skills,270,478,726,737,652,706,818,383,-0.04206241519674356,-0.02125714061186812,104.21813089665157,1
Diameter,Authentication server software,Trades,1,Industrial modelling & geospatial software skills,123,443,696,633,457,637,888,328,0.00631911532385466,0.0031545819682301524,293.13455939100237,1
Digital Marketing,"Sales, marketing and communications",Business and management,1,Design & marketing skills,4386,9090,16737,16999,13464,18576,23810,8870,0.0927701629507618,0.04535647649534447,111.34319860838905,1
Digital cameras,Electrical and electronics,Sales and merchandising,1,Design & marketing skills,124,218,288,325,130,143,251,92,-0.56,-0.33667504192892006,130.89984533627373,1
Dimensional Data Modeling,Metadata management software,High-tech,1,Software/product dev & data skills,43,248,370,309,130,227,248,93,-0.26537216828478966,-0.14289567046058482,22.42053693279931,1
